MQ.13R3.B1_k1	 8.739767169226371e-03
MQ.14R3.B1_k1	-8.553250738694805e-03
MQ.15R3.B1_k1	 8.740890052091790e-03
MQ.16R3.B1_k1	-8.553943949317655e-03
MQ.17R3.B1_k1	 8.739875155359622e-03
MQ.18R3.B1_k1	-8.554480393391069e-03
MQ.19R3.B1_k1	 8.738991932934110e-03
MQ.20R3.B1_k1	-8.552839089268240e-03
MQ.21R3.B1_k1	 8.741222780860293e-03
MQ.22R3.B1_k1	-8.553595680102949e-03
MQ.23R3.B1_k1	 8.740914513508178e-03
MQ.24R3.B1_k1	-8.553224759393303e-03
MQ.25R3.B1_k1	 8.739473584920308e-03
MQ.26R3.B1_k1	-8.553224965036976e-03
MQ.27R3.B1_k1	 8.741381671714732e-03
MQ.28R3.B1_k1	-8.553564729924669e-03
MQ.29R3.B1_k1	 8.741404926410391e-03
MQ.30R3.B1_k1	-8.555774893904447e-03
MQ.31R3.B1_k1	 8.740755767864547e-03
MQ.32R3.B1_k1	-8.553459629993473e-03
MQ.33R3.B1_k1	 8.739776088456748e-03
MQ.34R3.B1_k1	-8.553455598107015e-03
MQ.33L4.B1_k1	 8.738300279330759e-03
MQ.32L4.B1_k1	-8.553721983098036e-03
MQ.31L4.B1_k1	 8.740349539723889e-03
MQ.30L4.B1_k1	-8.552269964291282e-03
MQ.29L4.B1_k1	 8.739584451889758e-03
MQ.28L4.B1_k1	-8.554225633759066e-03
MQ.27L4.B1_k1	 8.739598884466232e-03
MQ.26L4.B1_k1	-8.552751093678384e-03
MQ.25L4.B1_k1	 8.740324751700095e-03
MQ.24L4.B1_k1	-8.553987218196033e-03
MQ.23L4.B1_k1	 8.740486019657290e-03
MQ.22L4.B1_k1	-8.553451050387267e-03
MQ.21L4.B1_k1	 8.740884021346589e-03
MQ.20L4.B1_k1	-8.554134589506867e-03
MQ.19L4.B1_k1	 8.739751044057695e-03
MQ.18L4.B1_k1	-8.553869477045322e-03
MQ.17L4.B1_k1	 8.738758304458567e-03
MQ.16L4.B1_k1	-8.553280798511658e-03
MQ.15L4.B1_k1	 8.740265585284806e-03
MQ.14L4.B1_k1	-8.553529712187431e-03
MQ.13L4.B1_k1	 8.739832391967559e-03
