name Horizontal_STD Vertical_STD
BPM_A.7R2.B2 1.21e-01 1.28e-01
BPM.9R2.B2 8.84e-02 9.28e-02
BPM.11R2.B2 8.06e-02 8.48e-02
BPM.13R2.B2 8.45e-02 8.47e-02
BPM.15R2.B2 8.09e-02 8.47e-02
BPM.17R2.B2 7.99e-02 7.99e-02
BPM.19R2.B2 8.55e-02 8.51e-02
BPM.21R2.B2 8.36e-02 9.78e-02
BPM.23R2.B2 8.54e-02 8.29e-02
BPM.25R2.B2 8.60e-02 8.59e-02
BPM.27R2.B2 8.82e-02 8.26e-02
BPM.29R2.B2 8.71e-02 8.53e-02
BPM.31R2.B2 8.51e-02 8.42e-02
BPM.33R2.B2 7.58e-02 8.24e-02
BPMW.4L3.B2 2.07e-01 1.42e-01
BPMW.5L3.B2 1.51e-01 1.52e-01
BPMR.6L3.B2 1.61e-01 1.44e-01
BPM.8L3.B2 9.15e-02 8.69e-02
BPM.10L3.B2 8.67e-02 7.76e-02
BPM.12L3.B2 8.61e-02 8.84e-02
BPM.14L3.B2 8.56e-02 8.54e-02
BPM.16L3.B2 8.29e-02 8.37e-02
BPM.18L3.B2 7.98e-02 8.07e-02
BPM.20L3.B2 8.63e-02 8.50e-02
BPM.22L3.B2 8.15e-02 8.19e-02
BPM.24L3.B2 8.59e-02 8.61e-02
BPM.26L3.B2 8.49e-02 8.92e-02
BPM.28L3.B2 8.33e-02 8.94e-02
BPM.30L3.B2 8.78e-02 8.33e-02
BPM.32L3.B2 8.02e-02 7.66e-02
BPMWE.4L3.B2 1.63e-01 1.74e-01
BPMWJ.A5L3.B2 2.02e-01 2.03e-01
BPM.7L3.B2 1.35e-01 1.13e-01
BPM.9L3.B2 8.39e-02 8.70e-02
BPM.11L3.B2 8.77e-02 8.40e-02
BPM.13L3.B2 8.24e-02 8.37e-02
BPM.15L3.B2 8.63e-02 8.29e-02
BPM.17L3.B2 8.19e-02 8.03e-02
BPM.19L3.B2 8.00e-02 7.76e-02
BPM.21L3.B2 8.25e-02 8.14e-02
BPM.23L3.B2 9.10e-02 8.73e-02
BPM.25L3.B2 8.53e-02 8.68e-02
BPM.27L3.B2 8.75e-02 8.11e-02
BPM.29L3.B2 8.61e-02 8.29e-02
BPM.31L3.B2 8.35e-02 8.45e-02
BPM.33L3.B2 8.54e-02 8.19e-02
BPMW.4R3.B2 1.46e-01 1.37e-01
BPMW.5R3.B2 1.12e-01 1.16e-01
BPMWC.6R3.B2 1.13e-01 1.05e-01
BPM_A.7R3.B2 8.63e-02 8.16e-02
BPM.9R3.B2 9.27e-02 9.22e-02
BPM.11R3.B2 8.11e-02 8.12e-02
BPM.13R3.B2 8.85e-02 8.70e-02
BPM.15R3.B2 8.64e-02 7.80e-02
BPM.17R3.B2 7.70e-02 8.44e-02
BPM.19R3.B2 8.80e-02 7.99e-02
BPM.21R3.B2 8.00e-02 9.29e-02
BPM.23R3.B2 7.96e-02 9.63e-02
BPM.25R3.B2 8.42e-02 8.56e-02
BPM.27R3.B2 8.46e-02 8.57e-02
BPM.29R3.B2 8.23e-02 9.05e-02
BPM.31R3.B2 9.02e-02 8.65e-02
BPM.33R3.B2 7.91e-02 8.35e-02
BPMWE.4R3.B2 1.30e-01 1.35e-01
BPMWE.A5R3.B2 1.07e-01 1.06e-01
BPM.6R3.B2 9.46e-02 9.68e-02
BPM.8R3.B2 8.88e-02 8.71e-02
BPM.10R3.B2 8.74e-02 8.36e-02
BPM.12R3.B2 8.51e-02 8.48e-02
BPM.14R3.B2 8.54e-02 8.83e-02
BPM.16R3.B2 8.39e-02 8.47e-02
BPM.18R3.B2 7.97e-02 8.40e-02
BPM.20R3.B2 8.47e-02 8.32e-02
BPM.22R3.B2 8.10e-02 8.45e-02
BPM.24R3.B2 8.45e-02 8.11e-02
BPM.26R3.B2 8.12e-02 8.38e-02
BPM.28R3.B2 1.13e-01 1.27e-01
BPM.30R3.B2 8.23e-02 0.00e+00
BPM.32R3.B2 8.56e-02 8.70e-02
BPM.34R3.B2 7.79e-02 8.09e-02
BPMWA.A5L4.B2 1.29e-01 1.22e-01
BPMYB.5L4.B2 1.53e-01 1.43e-01
BPM.7L4.B2 1.24e-01 1.25e-01
BPM.9L4.B2 8.53e-02 8.50e-02
BPM.11L4.B2 8.54e-02 9.03e-02
BPM.13L4.B2 8.90e-02 8.25e-02
BPM.15L4.B2 8.63e-02 8.34e-02
BPM.17L4.B2 8.58e-02 8.24e-02
BPM.19L4.B2 7.78e-02 7.85e-02
BPM.21L4.B2 8.41e-02 8.43e-02
BPM.23L4.B2 8.21e-02 9.02e-02
BPM.25L4.B2 8.19e-02 9.81e-02
BPM.27L4.B2 8.19e-02 8.27e-02
BPM.29L4.B2 8.21e-02 8.20e-02
BPM.31L4.B2 8.83e-02 8.58e-02
BPM.33L4.B2 7.93e-02 7.82e-02
BPMWA.B5L4.B2 1.31e-01 1.30e-01
BPMYA.6L4.B2 1.56e-01 1.55e-01
BPM.8L4.B2 8.57e-02 8.79e-02
BPM.10L4.B2 8.76e-02 8.51e-02
BPM.12L4.B2 8.30e-02 8.68e-02
BPM.14L4.B2 8.83e-02 9.49e-02
BPM.16L4.B2 8.54e-02 8.49e-02
BPM.18L4.B2 8.38e-02 8.35e-02
BPM.20L4.B2 8.01e-02 7.92e-02
BPM.22L4.B2 8.81e-02 8.38e-02
BPM.24L4.B2 8.42e-02 8.45e-02
BPM.26L4.B2 8.74e-02 8.60e-02
BPM.28L4.B2 8.37e-02 8.42e-02
BPM.30L4.B2 8.47e-02 7.97e-02
BPM.32L4.B2 8.21e-02 7.98e-02
BPMWA.A5R4.B2 1.29e-01 1.29e-01
BPMWI.A5R4.B2 2.47e-01 2.44e-01
BPMYA.5R4.B2 1.53e-01 1.60e-01
BPM.7R4.B2 1.27e-01 1.18e-01
BPM.9R4.B2 8.65e-02 9.33e-02
BPM.11R4.B2 9.50e-02 9.02e-02
BPM.13R4.B2 8.58e-02 8.47e-02
BPM.15R4.B2 9.35e-02 8.75e-02
BPM.17R4.B2 7.99e-02 8.21e-02
BPM.19R4.B2 8.81e-02 8.92e-02
BPM.21R4.B2 8.16e-02 8.40e-02
BPM.23R4.B2 8.42e-02 8.52e-02
BPM.25R4.B2 8.82e-02 8.61e-02
BPM.27R4.B2 8.78e-02 9.05e-02
BPM.29R4.B2 8.56e-02 8.42e-02
BPM.31R4.B2 8.70e-02 8.94e-02
BPM.33R4.B2 7.74e-02 8.29e-02
BPMWA.B5R4.B2 1.26e-01 1.21e-01
BPMYB.6R4.B2 1.52e-01 1.49e-01
BPM.8R4.B2 8.22e-02 8.08e-02
BPM.10R4.B2 7.79e-02 8.06e-02
BPM.12R4.B2 9.03e-02 1.09e-01
BPM.14R4.B2 8.51e-02 9.40e-02
BPM.16R4.B2 9.09e-02 9.29e-02
BPM.18R4.B2 8.14e-02 8.55e-02
BPM.20R4.B2 8.21e-02 7.96e-02
BPM.22R4.B2 8.77e-02 9.37e-02
BPM.24R4.B2 8.38e-02 8.92e-02
BPM.26R4.B2 8.30e-02 9.13e-02
BPM.28R4.B2 8.91e-02 9.34e-02
BPM.30R4.B2 8.51e-02 8.24e-02
BPM.32R4.B2 8.15e-02 8.62e-02
BPM.34R4.B2 7.24e-02 8.36e-02
BPMSW.1L5.B2 1.37e-01 1.31e-01
BPMSY.4L5.B2 1.78e-01 2.13e-01
BPMYA.4L5.B2 1.29e-01 1.32e-01
BPMR.6L5.B2 1.17e-01 1.23e-01
BPM.8L5.B2 9.50e-02 9.22e-02
BPM.10L5.B2 9.01e-02 8.52e-02
BPM.12L5.B2 9.01e-02 8.81e-02
BPM.14L5.B2 9.39e-02 8.55e-02
BPM.16L5.B2 8.25e-02 8.07e-02
BPM.18L5.B2 8.79e-02 8.84e-02
BPM.20L5.B2 8.56e-02 9.01e-02
BPM.22L5.B2 8.40e-02 7.41e-02
BPM.24L5.B2 8.85e-02 9.21e-02
BPM.26L5.B2 8.73e-02 9.54e-02
BPM.28L5.B2 8.78e-02 1.07e-01
BPM.30L5.B2 8.29e-02 9.10e-02
BPM.32L5.B2 8.41e-02 7.84e-02
BPMS.2L5.B2 1.38e-01 1.38e-01
BPMWB.4L5.B2 1.38e-01 1.34e-01
BPM.5L5.B2 1.26e-01 1.29e-01
BPM.7L5.B2 9.12e-02 1.30e-01
BPM.9L5.B2 9.42e-02 8.50e-02
BPM.11L5.B2 8.18e-02 8.85e-02
BPM.13L5.B2 7.81e-02 8.36e-02
BPM.15L5.B2 8.27e-02 8.42e-02
BPM.17L5.B2 7.95e-02 8.10e-02
BPM.19L5.B2 8.39e-02 8.91e-02
BPM.21L5.B2 8.87e-02 8.25e-02
BPM.23L5.B2 7.65e-02 8.23e-02
BPM.25L5.B2 8.48e-02 8.60e-02
BPM.27L5.B2 8.43e-02 9.29e-02
BPM.29L5.B2 8.59e-02 9.27e-02
BPM.31L5.B2 8.79e-02 8.75e-02
BPM.33L5.B2 8.66e-02 8.12e-02
BPMSW.1R5.B2 1.29e-01 1.25e-01
BPMSY.4R5.B2 1.46e-01 1.68e-01
BPMYA.4R5.B2 1.24e-01 1.19e-01
BPM.6R5.B2 1.19e-01 1.20e-01
BPM.8R5.B2 8.86e-02 8.58e-02
BPM.10R5.B2 8.47e-02 8.68e-02
BPM.12R5.B2 8.11e-02 8.22e-02
BPM.14R5.B2 8.46e-02 8.24e-02
BPM.16R5.B2 7.79e-02 8.01e-02
BPM.18R5.B2 8.63e-02 8.18e-02
BPM.20R5.B2 8.81e-02 8.54e-02
BPM.22R5.B2 8.60e-02 8.26e-02
BPM.24R5.B2 8.75e-02 8.53e-02
BPM.26R5.B2 8.37e-02 8.81e-02
BPM.28R5.B2 8.67e-02 8.86e-02
BPM.30R5.B2 8.72e-02 8.76e-02
BPM.32R5.B2 8.25e-02 9.02e-02
BPM.34R5.B2 8.36e-02 8.21e-02
BPMS.2R5.B2 1.26e-01 1.23e-01
BPMWB.4R5.B2 1.39e-01 1.37e-01
BPMR.5R5.B2 1.33e-01 1.32e-01
BPMRA.7R5.B2 1.22e-01 1.17e-01
BPM.9R5.B2 9.28e-02 9.62e-02
BPM.11R5.B2 8.71e-02 9.16e-02
BPM.13R5.B2 8.67e-02 8.45e-02
BPM.15R5.B2 8.70e-02 8.52e-02
BPM.17R5.B2 7.99e-02 7.89e-02
BPM.19R5.B2 8.90e-02 8.46e-02
BPM.21R5.B2 8.34e-02 8.68e-02
BPM.23R5.B2 8.45e-02 8.74e-02
BPM.25R5.B2 8.40e-02 8.16e-02
BPM.27R5.B2 8.58e-02 8.59e-02
BPM.29R5.B2 9.04e-02 8.66e-02
BPM.31R5.B2 8.32e-02 8.54e-02
BPM.33R5.B2 8.31e-02 7.89e-02
BPMSA.4L6.B2 1.32e-01 1.32e-01
BPMYB.5L6.B2 1.62e-01 1.60e-01
BPM.9L6.B2 8.52e-02 8.47e-02
BPM.11L6.B2 8.37e-02 8.30e-02
BPM.13L6.B2 8.85e-02 8.33e-02
BPM.15L6.B2 8.14e-02 8.26e-02
BPM.17L6.B2 8.58e-02 8.12e-02
BPM.19L6.B2 8.86e-02 9.16e-02
BPM.21L6.B2 8.27e-02 7.72e-02
BPM.23L6.B2 8.39e-02 8.63e-02
BPM.25L6.B2 8.75e-02 9.06e-02
BPM.27L6.B2 8.64e-02 8.04e-02
BPM.29L6.B2 8.53e-02 8.07e-02
BPM.31L6.B2 8.63e-02 8.47e-02
BPM.33L6.B2 8.05e-02 7.65e-02
BPMYA.4L6.B2 1.13e-01 1.20e-01
BPM.8L6.B2 9.02e-02 7.82e-02
BPM.10L6.B2 8.99e-02 8.74e-02
BPM.12L6.B2 8.46e-02 8.34e-02
BPM.14L6.B2 9.06e-02 8.55e-02
BPM.16L6.B2 8.62e-02 8.74e-02
BPM.18L6.B2 1.00e-01 8.60e-02
BPM.20L6.B2 8.46e-02 8.38e-02
BPM.22L6.B2 8.04e-02 8.36e-02
BPM.24L6.B2 8.81e-02 8.75e-02
BPM.26L6.B2 9.28e-02 8.68e-02
BPM.28L6.B2 8.92e-02 8.98e-02
BPM.30L6.B2 9.25e-02 9.17e-02
BPM.32L6.B2 8.74e-02 8.64e-02
BPMSI.A4L6.B2 1.91e-01 1.84e-01
BPMSX.A4R6.B2 9.53e-02 1.00e-01
BPMSE.4R6.B2 5.34e-01 5.57e-01
BPMYA.5R6.B2 1.54e-01 1.57e-01
BPM.9R6.B2 8.92e-02 8.61e-02
BPM.11R6.B2 8.94e-02 8.27e-02
BPM.13R6.B2 7.94e-02 8.42e-02
BPM.15R6.B2 8.56e-02 8.34e-02
BPM.17R6.B2 8.28e-02 8.44e-02
BPM.19R6.B2 8.35e-02 8.23e-02
BPM.21R6.B2 8.16e-02 8.21e-02
BPM.23R6.B2 8.42e-02 8.24e-02
BPM.25R6.B2 8.86e-02 8.91e-02
BPM.27R6.B2 8.70e-02 7.71e-02
BPM.29R6.B2 8.42e-02 8.37e-02
BPM.31R6.B2 8.61e-02 8.30e-02
BPM.33R6.B2 8.02e-02 7.85e-02
BPMYB.4R6.B2 1.12e-01 1.12e-01
BPM.8R6.B2 8.32e-02 8.02e-02
BPM.10R6.B2 8.49e-02 8.54e-02
BPM.12R6.B2 8.55e-02 8.08e-02
BPM.14R6.B2 8.51e-02 8.45e-02
BPM.16R6.B2 8.59e-02 8.75e-02
BPM.18R6.B2 8.35e-02 8.40e-02
BPM.20R6.B2 8.72e-02 8.62e-02
BPM.22R6.B2 8.17e-02 8.11e-02
BPM.24R6.B2 8.55e-02 8.21e-02
BPM.26R6.B2 8.66e-02 8.55e-02
BPM.28R6.B2 8.43e-02 8.79e-02
BPM.30R6.B2 8.36e-02 8.17e-02
BPM.32R6.B2 8.62e-02 8.61e-02
BPM.34R6.B2 9.23e-02 8.72e-02
BPMSI.B4L6.B2 2.02e-01 1.81e-01
BPMSX.B4R6.B2 1.03e-01 1.00e-01
BPMW.4L7.B2 1.44e-01 1.57e-01
BPMW.5L7.B2 1.48e-01 1.55e-01
BPMWC.6L7.B2 1.24e-01 1.33e-01
BPM.7L7.B2 1.18e-01 1.37e-01
BPM.9L7.B2 8.58e-02 8.58e-02
BPM.11L7.B2 8.78e-02 8.13e-02
